NAME                     TYPE      BREED                              SEX                 IN AGE    CURR AGE  
Peri                     Cat       Domestic Shorthair                 Spayed Female       9.00      10.00     
A871760                  Cat       Domestic Shorthair                 Intact Female       1.00      2.00      
*Comet                   Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
*Mandarin                Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
*Captain                 Cat       Domestic Longhair                  Neutered Male       1.00      2.00      
*Mr. Chonk               Cat       Domestic Shorthair                 Neutered Male       3.00      4.00      
A872029                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Mango                    Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Sushi                    Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Snickerdoodle           Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Benji                    Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872184                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Marcy                    Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
A872007                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A871989                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872232                  Cat       Domestic Shorthair                 Spayed Female       2.00      3.00      
*Latke                   Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A871427                  Cat       Domestic Shorthair Mix             Neutered Male       1.00      2.00      
A872014                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Jerry                    Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
*Domino                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Beast Boy                Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872183                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Juniper                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Theodore                 Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Sweetness                Cat       Domestic Longhair                  Spayed Female       1.00      2.00      
Liono                    Cat       Domestic Longhair                  Neutered Male       1.00      2.00      
A872062                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A872061                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Siberia                  Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
*Jupiter                 Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Louie                    Cat       Domestic Medium Hair               Neutered Male       1.00      2.00      
*Velvet                  Cat       Domestic Shorthair                 Spayed Female       4.00      5.00      
Cookie                   Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Beatrice                Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
Vespa                    Cat       Domestic Shorthair                 Spayed Female       2.00      3.00      
*Gabriel                 Cat       Domestic Longhair                  Neutered Male       2.00      3.00      
*Louis                   Cat       Siamese Mix                        Neutered Male       2.00      3.00      
Marcelin                 Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A870513                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A868462                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Ghost                    Cat       Domestic Shorthair Mix             Neutered Male       9.00      10.00     
Smokey                   Cat       Domestic Medium Hair               Neutered Male       2.00      3.00      
*Mirabelle               Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
Ellie                    Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Snickers                 Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
*Sonny                   Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Calliope                 Cat       Domestic Shorthair                 Spayed Female       5.00      6.00      
*Magpie                  Cat       Domestic Medium Hair Mix           Spayed Female       3.00      4.00      
*Valentina               Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
Thor                     Cat       Domestic Shorthair                 Neutered Male       3.00      4.00      
*Malcolm                 Cat       Domestic Shorthair                 Neutered Male       3.00      4.00      
Bubbles                  Cat       Domestic Shorthair                 Spayed Female       2.00      3.00      
A872331                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
*Venus                   Cat       Domestic Medium Hair               Spayed Female       1.00      2.00      
A868460                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A868461                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A870872                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A870874                  Cat       Domestic Longhair                  Neutered Male       1.00      2.00      
*Pheobe                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A870871                  Cat       Domestic Medium Hair               Neutered Male       1.00      2.00      
A870505                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A870503                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A870509                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Edgar                   Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
*Betty                   Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Aspen                   Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
*Joey                    Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
*Venus                   Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A870352                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A870353                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A870512                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872583                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A870354                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Socks                   Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
*Panda                   Cat       Domestic Shorthair                 Neutered Male       3.00      4.00      
*Penelope                Cat       Domestic Shorthair                 Spayed Female       4.00      5.00      
A872388                  Cat       Domestic Shorthair Mix             Spayed Female       1.00      2.00      
*Rufus                   Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Monty                    Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
*Daisy                   Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
*Henry                   Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872671                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872699                  Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
A872472                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872389                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A872672                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Precious                 Cat       Domestic Shorthair Mix             Spayed Female       1.00      2.00      
Anya                     Cat       Domestic Medium Hair               Spayed Female       1.00      2.00      
Isaac                    Cat       Domestic Shorthair                 Neutered Male       7.00      8.00      
A872539                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A872458                  Cat       Domestic Longhair                  Spayed Female       1.00      2.00      
A872457                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A861828                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A861829                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Sirtux                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872689                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Verity                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Moon                    Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Stefan                  Cat       Domestic Shorthair                 Neutered Male       5.00      6.00      
Stella                   Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
*Gini                    Cat       Domestic Shorthair                 Intact Female       1.00      2.00      
A872897                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*O'Malley                Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
Bubba                    Cat       Domestic Shorthair                 Neutered Male       5.00      6.00      
A870974                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A870975                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872806                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A872468                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A872538                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Patson                   Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A870976                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Hercules                 Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Nala                     Cat       Siamese                            Spayed Female       4.00      5.00      
Scrappy                  Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
Grayson                  Cat       Domestic Shorthair                 Neutered Male       5.00      6.00      
*Cieli                   Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Jade                     Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Ren                      Cat       Domestic Shorthair Mix             Spayed Female       2.00      3.00      
Stocky                   Cat       Domestic Shorthair Mix             Spayed Female       2.00      3.00      
*Cream Puff              Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Cleopatra                Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Sticky Bun              Cat       Domestic Shorthair Mix             Neutered Male       5.00      6.00      
A872895                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
*Blazer                  Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
A872133                  Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
A872923                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A872981                  Cat       Domestic Shorthair                 Spayed Female       2.00      3.00      
*Sunset                  Cat       Domestic Shorthair                 Neutered Male       2.00      3.00      
A872921                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872874                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Bubbles                  Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Gaia                     Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
A873114                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A873113                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
*Dove                    Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
A872922                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
A872966                  Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
A873246                  Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
Milo                     Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
