NAME                     TYPE      BREED                              SEX                 IN AGE    CURR AGE  
Stormy                   Dog       Belgian Malinois                   Spayed Female       2.00      3.00      
*Basil                   Dog       Australian Cattle Dog/Labrador RetrieverNeutered Male       1.00      2.00      
Buster                   Dog       Belgian Malinois                   Neutered Male       1.00      2.00      
*Gemma                   Dog       Pit Bull                           Spayed Female       1.00      2.00      
*Quilt                   Dog       Australian Shepherd Mix            Spayed Female       1.00      2.00      
A872239                  Dog       Yorkshire Terrier Mix              Spayed Female       2.00      3.00      
*Trooper                 Dog       Australian Cattle Dog              Neutered Male       1.00      2.00      
*Phaedra                 Dog       Australian Kelpie Mix              Spayed Female       2.00      3.00      
Chevy                    Dog       Australian Cattle Dog Mix          Neutered Male       1.00      2.00      
Shadow                   Dog       Chihuahua Shorthair                Spayed Female       2.00      3.00      
Kong                     Dog       Pit Bull/Labrador Retriever        Neutered Male       3.00      4.00      
Pippi                    Dog       Chihuahua Longhair                 Intact Female       7.00      8.00      
*Isaiah                  Dog       Pit Bull Mix                       Neutered Male       3.00      4.00      
*Mowgli                  Dog       Pit Bull                           Neutered Male       1.00      2.00      
Henry                    Dog       Dachshund/Doberman Pinsch          Neutered Male       1.00      2.00      
*Dominic                 Dog       Pit Bull                           Neutered Male       3.00      4.00      
*Walter                  Dog       Labrador Retriever Mix             Neutered Male       9.00      10.00     
*Darwin                  Dog       Chihuahua Shorthair/Dachshund      Neutered Male       5.00      6.00      
*Lavena                  Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
*Bingo                   Dog       Australian Cattle Dog              Neutered Male       1.00      2.00      
L T                      Dog       Australian Cattle Dog              Neutered Male       3.00      4.00      
*Peter Pan               Dog       Anatol Shepherd Mix                Neutered Male       2.00      3.00      
Millie                   Dog       Cairn Terrier                      Spayed Female       2.00      3.00      
*Riley                   Dog       German Shepherd/Labrador Retriever Neutered Male       3.00      4.00      
*Brosdan                 Dog       German Shepherd Mix                Neutered Male       1.00      2.00      
Tigger                   Dog       Boxer Mix                          Neutered Male       7.00      8.00      
Lil Behr                 Dog       Cairn Terrier/Yorkshire Terrier    Neutered Male       11.00     12.00     
Nikita                   Dog       Yorkshire Terrier/Border Terrier   Spayed Female       10.00     11.00     
*Barb                    Dog       Border Collie Mix                  Spayed Female       1.00      2.00      
*Zeus                    Dog       Siberian Husky                     Neutered Male       4.00      5.00      
Scooby                   Dog       Labrador Retriever Mix             Neutered Male       6.00      7.00      
*Dalia                   Dog       Australian Cattle Dog Mix          Spayed Female       3.00      4.00      
Jackson                  Dog       Australian Cattle Dog Mix          Neutered Male       2.00      3.00      
*Bing Bong               Dog       Boxer Mix                          Spayed Female       3.00      4.00      
*Koda                    Dog       Pit Bull                           Neutered Male       3.00      4.00      
Dottie                   Dog       Pointer/Australian Cattle Dog      Spayed Female       1.00      2.00      
*Finnegan                Dog       Pit Bull                           Neutered Male       5.00      6.00      
*Woody                   Dog       Pit Bull Mix                       Neutered Male       1.00      2.00      
Maisy                    Dog       Pit Bull Mix                       Spayed Female       5.00      6.00      
Bolt                     Dog       Border Collie Mix                  Neutered Male       1.00      2.00      
*Dawn                    Dog       Australian Cattle Dog/Alaskan HuskySpayed Female       1.00      2.00      
*Buzz                    Dog       Pit Bull Mix                       Neutered Male       1.00      2.00      
Addie                    Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
*Tetra                   Dog       Border Collie Mix                  Neutered Male       1.00      2.00      
*Gourami                 Dog       Border Collie Mix                  Neutered Male       1.00      2.00      
*Peter                   Dog       Flat Coat Retriever Mix            Neutered Male       2.00      3.00      
*Jerry                   Dog       Pit Bull                           Neutered Male       3.00      4.00      
*Minnow                  Dog       Border Collie Mix                  Neutered Male       1.00      2.00      
*Meatball                Dog       American Staffordshire Terrier Mix Neutered Male       1.00      2.00      
*Tooni                   Dog       Labrador Retriever Mix             Neutered Male       2.00      3.00      
*James                   Dog       Jack Russell Terrier/Pointer       Neutered Male       1.00      2.00      
*Cody                    Dog       Pit Bull/Australian Cattle Dog     Neutered Male       2.00      3.00      
*Corbin                  Dog       Pit Bull Mix                       Neutered Male       1.00      2.00      
*Mercy                   Dog       Pit Bull Mix                       Spayed Female       3.00      4.00      
Bandit                   Dog       Australian Shepherd Mix            Neutered Male       2.00      3.00      
Sophie                   Dog       Labrador Retriever Mix             Spayed Female       5.00      6.00      
Moose                    Dog       Australian Cattle Dog/Labrador RetrieverNeutered Male       1.00      2.00      
*Calendula               Dog       Chihuahua Shorthair/Labrador RetrieverNeutered Male       1.00      2.00      
A872526                  Dog       Alaskan Husky/German Shepherd      Spayed Female       1.00      2.00      
Fluffy                   Dog       Chihuahua Longhair                 Spayed Female       1.00      2.00      
Ogan                     Dog       Chihuahua Shorthair                Neutered Male       1.00      2.00      
*Tinsely                 Dog       Siberian Husky Mix                 Spayed Female       3.00      4.00      
A872582                  Dog       Labrador Retriever Mix             Neutered Male       1.00      2.00      
*Ransom                  Dog       Doberman Pinsch                    Neutered Male       2.00      3.00      
Charlie                  Dog       Labrador Retriever Mix             Neutered Male       1.00      2.00      
*Marigold                Dog       Chihuahua Shorthair/Labrador RetrieverSpayed Female       1.00      2.00      
*Rudy                    Dog       Chow Chow Mix                      Neutered Male       3.00      4.00      
A869745                  Dog       Australian Shepherd Mix            Spayed Female       1.00      2.00      
*Harper                  Dog       Anatol Shepherd/Great Dane         Spayed Female       1.00      2.00      
Fluffy                   Dog       Great Pyrenees                     Neutered Male       3.00      4.00      
Davey                    Dog       Labrador Retriever Mix             Neutered Male       6.00      7.00      
*Buddy                   Dog       Labrador Retriever Mix             Neutered Male       1.00      2.00      
*Kennedy                 Dog       Siberian Husky/German Shepherd     Spayed Female       1.00      2.00      
Max                      Dog       Akita Mix                          Neutered Male       1.00      2.00      
*Black Jack              Dog       Labrador Retriever Mix             Neutered Male       1.00      2.00      
Jackson                  Dog       Border Terrier/Beagle              Neutered Male       2.00      3.00      
*Muffin                  Dog       Australian Cattle Dog              Spayed Female       1.00      2.00      
A872503                  Dog       Border Terrier/Beagle              Neutered Male       1.00      2.00      
*Lando                   Dog       Australian Cattle Dog/Pit Bull     Neutered Male       1.00      2.00      
*Akua                    Dog       Doberman Pinsch Mix                Spayed Female       1.00      2.00      
*Burt                    Dog       Pit Bull Mix                       Neutered Male       3.00      4.00      
*Cabo                    Dog       Labrador Retriever                 Neutered Male       1.00      2.00      
Koa                      Dog       Blue Lacy Mix                      Neutered Male       2.00      3.00      
*Alesia                  Dog       Pit Bull Mix                       Intact Female       1.00      2.00      
Estrella                 Dog       Chihuahua Shorthair                Spayed Female       2.00      3.00      
*Leroy                   Dog       Blue Lacy Mix                      Neutered Male       2.00      3.00      
Muneca                   Dog       Chihuahua Shorthair/Labrador RetrieverSpayed Female       1.00      2.00      
Kimchi                   Dog       Labrador Retriever/Dutch Shepherd  Spayed Female       1.00      2.00      
Shirley                  Dog       German Shepherd Mix                Spayed Female       3.00      4.00      
Mila                     Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
Loki                     Dog       Siberian Husky                     Neutered Male       1.00      2.00      
*Yoyo                    Dog       Australian Kelpie Mix              Neutered Male       3.00      4.00      
Sofi                     Dog       Australian Cattle Dog              Spayed Female       3.00      4.00      
A872479                  Dog       Queensland Heeler Mix              Spayed Female       1.00      2.00      
Lina                     Dog       German Shepherd                    Spayed Female       4.00      5.00      
Eboni                    Dog       Treeing Walker Coonhound Mix       Spayed Female       1.00      2.00      
Cinnamon                 Dog       Chihuahua Shorthair/Labrador RetrieverNeutered Male       1.00      2.00      
Belinda                  Dog       Great Pyrenees                     Spayed Female       1.00      2.00      
Oreo                     Dog       Pit Bull                           Spayed Female       2.00      3.00      
Cohen                    Dog       Pit Bull                           Neutered Male       3.00      4.00      
*Stella                  Dog       German Shepherd Mix                Intact Female       3.00      4.00      
Parker                   Dog       American Pit Bull Terrier Mix      Neutered Male       3.00      4.00      
*Minnow                  Dog       Border Collie Mix                  Spayed Female       1.00      2.00      
*Dan                     Dog       Pit Bull Mix                       Neutered Male       2.00      3.00      
A872736                  Dog       Scottish Deerhound                 Spayed Female       1.00      2.00      
*Eartha                  Dog       Labrador Retriever/Australian Cattle DogSpayed Female       1.00      2.00      
*Ramona                  Dog       Boxer Mix                          Spayed Female       3.00      4.00      
*Fred                    Dog       Labrador Retriever Mix             Neutered Male       2.00      3.00      
Sunny                    Dog       Pit Bull                           Neutered Male       14.00     15.00     
*Hawkeye                 Dog       Belgian Malinois                   Neutered Male       2.00      3.00      
*Mars                    Dog       Pit Bull Mix                       Neutered Male       9.00      10.00     
A872067                  Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
*Molly                   Dog       Border Collie Mix                  Spayed Female       1.00      2.00      
*Carbon                  Dog       Labrador Retriever                 Neutered Male       3.00      4.00      
*Goose                   Dog       Chihuahua Longhair                 Neutered Male       1.00      2.00      
Jericho                  Dog       Australian Cattle Dog              Neutered Male       3.00      4.00      
*Duck                    Dog       Chihuahua Longhair Mix             Neutered Male       1.00      2.00      
*Robin                   Dog       Chihuahua Longhair Mix             Spayed Female       1.00      2.00      
Duke                     Dog       Pit Bull Mix                       Neutered Male       3.00      4.00      
*Martin                  Dog       Chihuahua Longhair Mix             Neutered Male       1.00      2.00      
*Frida Kahlo             Dog       Boxer/Pit Bull                     Spayed Female       1.00      2.00      
Freda                    Dog       Pit Bull                           Intact Female       3.00      4.00      
*Sunflower               Dog       Chihuahua Shorthair                Spayed Female       3.00      4.00      
*Kylie                   Dog       Pointer Mix                        Spayed Female       3.00      4.00      
*Bracker                 Dog       Rhod Ridgeback/German Shepherd     Neutered Male       1.00      2.00      
*Raven                   Dog       Chihuahua Longhair Mix             Spayed Female       1.00      2.00      
*Finch                   Dog       Chihuahua Longhair Mix             Neutered Male       1.00      2.00      
*Mr. Swan                Dog       Pit Bull Mix                       Neutered Male       3.00      4.00      
Ridley                   Dog       Pit Bull                           Spayed Female       2.00      3.00      
Rosa                     Dog       Labrador Retriever Mix             Spayed Female       10.00     11.00     
*Bina                    Dog       Pit Bull                           Spayed Female       3.00      4.00      
A872775                  Dog       Chihuahua Shorthair                Neutered Male       2.00      3.00      
A872751                  Dog       Pit Bull                           Spayed Female       2.00      3.00      
Bailey                   Dog       American Bulldog                   Spayed Female       5.00      6.00      
Wonder                   Dog       Australian Cattle Dog Mix          Spayed Female       2.00      3.00      
*Nana                    Dog       Anatol Shepherd Mix                Spayed Female       8.00      9.00      
*Bruce                   Dog       Bull Terrier                       Neutered Male       2.00      3.00      
*Grackle                 Dog       Chihuahua Longhair Mix             Neutered Male       1.00      2.00      
A873086                  Dog       German Shepherd Mix                Neutered Male       1.00      2.00      
A872844                  Dog       Dachshund/Pit Bull                 Neutered Male       2.00      3.00      
Mia                      Dog       Labrador Retriever                 Spayed Female       1.00      2.00      
A872720                  Dog       German Shepherd Mix                Neutered Male       1.00      2.00      
Big Papi                 Dog       Pit Bull                           Neutered Male       1.00      2.00      
*Madam Z                 Dog       Australian Cattle Dog Mix          Spayed Female       1.00      2.00      
*Wren                    Dog       Chihuahua Longhair                 Spayed Female       3.00      4.00      
Max                      Dog       German Shepherd                    Neutered Male       4.00      5.00      
A873162                  Dog       Chihuahua Shorthair Mix            Neutered Male       3.00      4.00      
A873159                  Dog       Chihuahua Shorthair                Neutered Male       2.00      3.00      
*Crunchy                 Dog       Pit Bull                           Spayed Female       1.00      2.00      
*Zoey                    Dog       Australian Cattle Dog              Spayed Female       3.00      4.00      
*Mary                    Dog       Dachshund Wirehair Mix             Spayed Female       4.00      5.00      
*Poppy                   Dog       Labrador Retriever Mix             Spayed Female       5.00      6.00      
Harmony                  Dog       Pit Bull Mix                       Spayed Female       1.00      2.00      
A873228                  Dog       Alaskan Klee Kai Mix               Neutered Male       1.00      2.00      
A873311                  Dog       German Wirehaired Pointer/Labrador RetrieverNeutered Male       1.00      2.00      
Jester                   Dog       German Shepherd Mix                Neutered Male       1.00      2.00      
A873087                  Dog       German Shepherd Mix                Neutered Male       1.00      2.00      
Nina                     Dog       Pit Bull Mix                       Spayed Female       2.00      3.00      
Puppy                    Dog       Papillon Mix                       Spayed Female       4.00      5.00      
Chispas                  Dog       Labrador Retriever                 Spayed Female       1.00      2.00      
A873160                  Dog       Doberman Pinsch/Dachshund          Spayed Female       1.00      2.00      
A873313                  Dog       Labrador Retriever Mix             Neutered Male       1.00      2.00      
Kaliper                  Dog       Siberian Husky Mix                 Neutered Male       2.00      3.00      
*Swayze                  Dog       Catahoula Mix                      Neutered Male       1.00      2.00      
Oleander                 Dog       Chihuahua Shorthair/Labrador RetrieverNeutered Male       1.00      2.00      
*Mason                   Dog       Bloodhound/German Shepherd         Neutered Male       3.00      4.00      
*Randy                   Dog       Labrador Retriever/Siberian Husky  Neutered Male       6.00      7.00      
*Flag                    Dog       Pit Bull                           Neutered Male       3.00      4.00      
Tank                     Dog       Pit Bull Mix                       Neutered Male       9.00      10.00     
*Archie                  Dog       Staffordshire/Pit Bull             Neutered Male       1.00      2.00      
Magic                    Dog       Labrador Retriever Mix             Neutered Male       7.00      8.00      
*Kanga                   Dog       German Shepherd Mix                Neutered Male       1.00      2.00      
*Seymour                 Dog       Labrador Retriever/Chinese Sharpei Neutered Male       1.00      2.00      
*Bacon                   Dog       Pointer Mix                        Neutered Male       1.00      2.00      
Coco                     Dog       Pit Bull Mix                       Spayed Female       1.00      2.00      
*Lemon Drop              Dog       Black Mouth Cur Mix                Spayed Female       2.00      3.00      
Maximus                  Dog       Pit Bull Mix                       Neutered Male       7.00      8.00      
Mist                     Dog       Siberian Husky Mix                 Spayed Female       2.00      3.00      
*Lancelot                Dog       Akita/Siberian Husky               Neutered Male       4.00      5.00      
Adelaide                 Dog       Great Pyrenees Mix                 Spayed Female       1.00      2.00      
Reyna                    Dog       Pit Bull Mix                       Spayed Female       2.00      3.00      
*Jazzie                  Dog       German Shepherd Mix                Spayed Female       1.00      2.00      
Cleopatra                Dog       Standard Schnauzer Mix             Spayed Female       1.00      2.00      
A873408                  Dog       Blue Lacy                          Spayed Female       1.00      2.00      
A873473                  Dog       Pit Bull                           Neutered Male       1.00      2.00      
A873401                  Dog       Blue Lacy Mix                      Neutered Male       1.00      2.00      
A873493                  Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
Asiago                   Dog       Pit Bull                           Neutered Male       3.00      4.00      
Kira                     Dog       Great Pyrenees Mix                 Spayed Female       1.00      2.00      
Ace                      Dog       Alaskan Husky                      Neutered Male       4.00      5.00      
*Frog                    Dog       Black/Tan Hound Mix                Neutered Male       2.00      3.00      
*Carl                    Other     Guinea Pig                         Intact Male         1.00      2.00      
*Lenny                   Other     Guinea Pig                         Intact Male         1.00      2.00      
A872428                  Other     Rabbit Sh                          Intact Female       4.00      5.00      
A872076                  Other     Lizard                             Unknown             1.00      2.00      
A872077                  Other     Lizard                             Unknown             1.00      2.00      
*Hugs                    Other     Angora-English                     Intact Female       1.00      2.00      
*Captain Fitzwilliam     Other     Lop-English Mix                    Intact Male         3.00      4.00      
*Priscilla               Other     Rabbit Sh                          Intact Female       1.00      2.00      
Oyster                   Other     Rabbit Lh                          Intact Male         1.00      2.00      
Gilbert                  Other     Guinea Pig                         Intact Male         3.00      4.00      
*Percy                   Other     Rabbit Sh Mix                      Neutered Male       3.00      4.00      



